Alabama,86.7,96.5,63.1,93.3
Alaska,104.4,101.4,132.1,95.6
Arizona,96.4,96.8,93.0,98.4
Arkansas,86.5,94.9,62.1,93.3
California,114.8,103.5,150.6,107.0
Colorado,103.2,99.6,120.7,97.7
Connecticut,108.0,104.0,113.1,109.0
Delaware,100.1,98.9,97.1,103.3
District of Columbia,116.9,105.6,154.5,109.5
Florida,99.9,98.5,106.7,96.9
Georgia,92.5,96.9,81.6,95.2
Hawaii,118.5,111.3,156.4,103.2
Idaho,93.0,98.5,77.7,96.7
Illinois,98.5,98.3,97.5,99.2
Indiana,89.8,96.2,73.9,92.7
Iowa,89.8,95.0,75.2,90.9
Kansas,90.0,95.7,74.2,92.6
Kentucky,87.9,94.6,67.1,93.1
Louisiana,90.1,96.8,75.2,93.3
Maine,98.4,98.6,92.5,101.6
Maryland,109.4,103.6,121.8,106.8
Massachusetts,107.9,101.8,121.8,106.0
Michigan,93.0,97.4,81.0,95.3
Minnesota,97.5,101.3,96.0,94.1
Mississippi,85.7,94.1,62.8,93.3
Missouri,89.5,95.5,73.0,92.3
Montana,94.6,99.4,83.1,94.7
Nebraska,89.6,95.2,74.7,91.1
Nevada,97.6,95.9,96.8,100.5
New Hampshire,105.8,100.9,116.7,104.8
New Jersey,112.9,102.0,130.0,114.8
New Mexico,93.3,97.0,80.2,99.1
New York,115.8,108.8,131.8,113.1
North Carolina,91.3,96.6,79.7,93.3
North Dakota,90.1,94.8,78.3,90.8
Ohio,88.9,95.8,72.1,91.7
Oklahoma,89.0,95.8,69.9,93.3
Oregon,99.5,99.1,106.4,95.9
Pennsylvania,97.9,99.4,86.4,102.9
Rhode Island,98.6,98.4,94.9,101.5
South Carolina,90.4,96.9,77.2,93.3
South Dakota,88.2,94.7,70.2,90.7
Tennessee,90.4,96.4,76.3,93.3
Texas,97.0,97.1,94.5,98.5
Utah,97.0,96.6,93.9,99.6
Vermont,102.5,98.5,116.4,101.4
Virginia,102.1,99.8,108.9,100.5
Washington,106.4,104.4,119.5,101.6
West Virginia,87.0,94.6,61.4,94.9
Wisconsin,92.4,95.8,84.2,92.9
Wyoming,95.2,99.2,85.7,95.3
